AgeGroup,records,accuracy,error_rate
20-34,58,0.603448275862069,0.39655172413793105
35-49,40,0.85,0.15000000000000002
<=19,77,0.38961038961038963,0.6103896103896104
>=50,28,0.7857142857142857,0.2142857142857143
