model,epoch,training_loss,internal_validation_accuracy,selected_epoch,internal_validation_records,signature_overlap
ShallowMLP,1,1.2610665238274597,0.38934426229508196,48,244,0
ShallowMLP,2,1.0515341380670982,0.5286885245901639,48,244,0
ShallowMLP,3,0.9449770343652384,0.5614754098360656,48,244,0
ShallowMLP,4,0.8925416686719798,0.6270491803278688,48,244,0
ShallowMLP,5,0.8585257028330714,0.6639344262295082,48,244,0
ShallowMLP,6,0.8323121737229301,0.680327868852459,48,244,0
ShallowMLP,7,0.8113068338261858,0.6967213114754098,48,244,0
ShallowMLP,8,0.7947608043189487,0.7131147540983607,48,244,0
ShallowMLP,9,0.7817181661318516,0.7131147540983607,48,244,0
ShallowMLP,10,0.7709410931150673,0.6967213114754098,48,244,0
ShallowMLP,11,0.7616259203872271,0.680327868852459,48,244,0
ShallowMLP,12,0.7531709970575381,0.6967213114754098,48,244,0
ShallowMLP,13,0.7456235285326674,0.7090163934426229,48,244,0
ShallowMLP,14,0.7384739206972968,0.7090163934426229,48,244,0
ShallowMLP,15,0.7319669183356623,0.7090163934426229,48,244,0
ShallowMLP,16,0.7259679851418763,0.7090163934426229,48,244,0
ShallowMLP,17,0.7203783500051454,0.7090163934426229,48,244,0
ShallowMLP,18,0.7151926749353509,0.7090163934426229,48,244,0
ShallowMLP,19,0.7103825852820667,0.7090163934426229,48,244,0
ShallowMLP,20,0.7058519267858452,0.7254098360655737,48,244,0
ShallowMLP,21,0.7015252545788948,0.7254098360655737,48,244,0
ShallowMLP,22,0.6973664584263018,0.7254098360655737,48,244,0
ShallowMLP,23,0.6934005490360466,0.7254098360655737,48,244,0
ShallowMLP,24,0.6896804188670698,0.7254098360655737,48,244,0
ShallowMLP,25,0.6861837626745243,0.7254098360655737,48,244,0
ShallowMLP,26,0.6828636144446971,0.7254098360655737,48,244,0
ShallowMLP,27,0.6797295162499108,0.7254098360655737,48,244,0
ShallowMLP,28,0.6767353360676759,0.7254098360655737,48,244,0
ShallowMLP,29,0.6739022224081029,0.7254098360655737,48,244,0
ShallowMLP,30,0.6712084357393522,0.7254098360655737,48,244,0
ShallowMLP,31,0.6685741293617137,0.7254098360655737,48,244,0
ShallowMLP,32,0.6660204622042575,0.7254098360655737,48,244,0
ShallowMLP,33,0.6635101292758138,0.7254098360655737,48,244,0
