model,epoch,training_loss,internal_validation_accuracy,selected_epoch,internal_validation_records,signature_overlap
ShallowMLP,34,0.6610998214586832,0.7254098360655737,48,244,0
ShallowMLP,35,0.6587001363899649,0.7254098360655737,48,244,0
ShallowMLP,36,0.656403437986375,0.7254098360655737,48,244,0
ShallowMLP,37,0.6542197892840267,0.7254098360655737,48,244,0
ShallowMLP,38,0.6520252531707227,0.7254098360655737,48,244,0
ShallowMLP,39,0.649894313500331,0.7254098360655737,48,244,0
ShallowMLP,40,0.6477482314400614,0.7254098360655737,48,244,0
ShallowMLP,41,0.6456231624564139,0.7254098360655737,48,244,0
ShallowMLP,42,0.6435312898102321,0.7254098360655737,48,244,0
ShallowMLP,43,0.6414583658366702,0.7254098360655737,48,244,0
ShallowMLP,44,0.6394407693608453,0.7254098360655737,48,244,0
ShallowMLP,45,0.6373611723529533,0.7295081967213115,48,244,0
ShallowMLP,46,0.6355061565666705,0.7295081967213115,48,244,0
ShallowMLP,47,0.6335479048082715,0.7295081967213115,48,244,0
ShallowMLP,48,0.6316604089560155,0.7377049180327869,48,244,0
ShallowMLP,49,0.6297284561781921,0.7377049180327869,48,244,0
ShallowMLP,50,0.6277262343221708,0.7377049180327869,48,244,0
ShallowMLP,51,0.6258533754492958,0.7377049180327869,48,244,0
ShallowMLP,52,0.6239375598579359,0.7377049180327869,48,244,0
ShallowMLP,53,0.6221502416198562,0.7377049180327869,48,244,0
ShallowMLP,54,0.6204071502713688,0.7336065573770492,48,244,0
ShallowMLP,55,0.618651422772335,0.7336065573770492,48,244,0
ShallowMLP,56,0.6169836811400427,0.7336065573770492,48,244,0
ShallowMLP,57,0.6153220224611503,0.7336065573770492,48,244,0
ShallowMLP,58,0.6136354858345232,0.7336065573770492,48,244,0
ShallowMLP,59,0.6120004810684566,0.7336065573770492,48,244,0
ShallowMLP,60,0.6104826041350705,0.7336065573770492,48,244,0
ShallowMLP,61,0.6089214024552764,0.7295081967213115,48,244,0
ShallowMLP,62,0.6074383988485851,0.7295081967213115,48,244,0
ShallowMLP,63,0.6060456348759569,0.7295081967213115,48,244,0
ShallowMLP,64,0.6045230258972254,0.7295081967213115,48,244,0
ShallowMLP,65,0.6032520297956658,0.7295081967213115,48,244,0
ShallowMLP,66,0.6019059565539873,0.7295081967213115,48,244,0
ShallowMLP,67,0.6004874157907647,0.7295081967213115,48,244,0
ShallowMLP,68,0.5992553738532401,0.7295081967213115,48,244,0
ShallowMLP,69,0.5979070690770675,0.7295081967213115,48,244,0
ShallowMLP,70,0.5966589416931997,0.7295081967213115,48,244,0
ShallowMLP,71,0.5953530359291768,0.7295081967213115,48,244,0
ShallowMLP,72,0.5941135690578574,0.7295081967213115,48,244,0
ShallowMLP,73,0.592905400739347,0.7295081967213115,48,244,0
ShallowMLP,74,0.5916983279583148,0.7295081967213115,48,244,0
ShallowMLP,75,0.5904535008115934,0.7295081967213115,48,244,0
ShallowMLP,76,0.5892699025491563,0.7295081967213115,48,244,0
ShallowMLP,77,0.5879843666664157,0.7295081967213115,48,244,0
ShallowMLP,78,0.5867597730558948,0.7336065573770492,48,244,0
ShallowMLP,79,0.5855117394997372,0.7336065573770492,48,244,0
ShallowMLP,80,0.5843343427134092,0.7336065573770492,48,244,0
ShallowMLP,81,0.5831737969536017,0.7336065573770492,48,244,0
ShallowMLP,82,0.5820972717709052,0.7377049180327869,48,244,0
ShallowMLP,83,0.5809286656146327,0.7377049180327869,48,244,0
DeepMLP,1,1.0858819391196897,0.5245901639344263,7,244,0
DeepMLP,2,0.9756039092330488,0.5983606557377049,7,244,0
DeepMLP,3,0.8974470499267859,0.6311475409836066,7,244,0
DeepMLP,4,0.8285196057739201,0.6885245901639344,7,244,0
DeepMLP,5,0.7657144448617604,0.7254098360655737,7,244,0
DeepMLP,6,0.7205346240144218,0.7254098360655737,7,244,0
DeepMLP,7,0.6918655447348974,0.7295081967213115,7,244,0
DeepMLP,8,0.6703462802268165,0.7172131147540983,7,244,0
DeepMLP,9,0.6527339740419643,0.7295081967213115,7,244,0
DeepMLP,10,0.6385265275682835,0.7254098360655737,7,244,0
DeepMLP,11,0.624946782092338,0.7254098360655737,7,244,0
DeepMLP,12,0.6127926062435811,0.7213114754098361,7,244,0
DeepMLP,13,0.6016292868263702,0.7254098360655737,7,244,0
DeepMLP,14,0.5919609253111224,0.7008196721311475,7,244,0
DeepMLP,15,0.5824740663147105,0.7131147540983607,7,244,0
DeepMLP,16,0.573584242471978,0.7131147540983607,7,244,0
DeepMLP,17,0.5640137132849474,0.7131147540983607,7,244,0
DeepMLP,18,0.5555673582379902,0.7131147540983607,7,244,0
DeepMLP,19,0.5477971545367218,0.7131147540983607,7,244,0
DeepMLP,20,0.5402884603663206,0.7172131147540983,7,244,0
DeepMLP,21,0.5336840065304066,0.7172131147540983,7,244,0
DeepMLP,22,0.5269845540109218,0.7172131147540983,7,244,0
DeepMLP,23,0.5199786354435965,0.7131147540983607,7,244,0
DeepMLP,24,0.5137624460983253,0.7131147540983607,7,244,0
DeepMLP,25,0.5080484742588984,0.7049180327868853,7,244,0
DeepMLP,26,0.5028123613126031,0.7090163934426229,7,244,0
DeepMLP,27,0.4975352813053415,0.7090163934426229,7,244,0
DeepMLP,28,0.4921488325815292,0.7090163934426229,7,244,0
DeepMLP,29,0.4867085354701009,0.7090163934426229,7,244,0
DeepMLP,30,0.4820095236839939,0.7090163934426229,7,244,0
DeepMLP,31,0.47776408077516286,0.7090163934426229,7,244,0
DeepMLP,32,0.47299954511485204,0.7254098360655737,7,244,0
DeepMLP,33,0.4679295211019061,0.7090163934426229,7,244,0
DeepMLP,34,0.46274433113080016,0.7049180327868853,7,244,0
DeepMLP,35,0.4588906614040796,0.7090163934426229,7,244,0
DeepMLP,36,0.4549690324572315,0.7254098360655737,7,244,0
DeepMLP,37,0.4505149501619271,0.7090163934426229,7,244,0
DeepMLP,38,0.4467414552106798,0.7254098360655737,7,244,0
DeepMLP,39,0.4420641849003814,0.7254098360655737,7,244,0
DeepMLP,40,0.43842269206578394,0.7254098360655737,7,244,0
DeepMLP,41,0.43514193454854094,0.7254098360655737,7,244,0
DeepMLP,42,0.4307299500998341,0.7254098360655737,7,244,0
DeepMLP,43,0.4275844005032284,0.7254098360655737,7,244,0
DeepMLP,44,0.4241036655703747,0.7049180327868853,7,244,0
DeepMLP,45,0.42085280496693556,0.7049180327868853,7,244,0
DeepMLP,46,0.4168140368898336,0.7213114754098361,7,244,0
DeepMLP,47,0.4140947987817185,0.7049180327868853,7,244,0
DeepMLP,48,0.4106820691382083,0.7049180327868853,7,244,0
DeepMLP,49,0.40842296187903515,0.7049180327868853,7,244,0
DeepMLP,50,0.40474849535715096,0.7049180327868853,7,244,0
DeepMLP,51,0.40210205537889254,0.7049180327868853,7,244,0
DeepMLP,52,0.39961821803459957,0.7049180327868853,7,244,0
