approach,accuracy,macro_f1,macro_precision,macro_recall,high_risk_recall
median,0.6059113300492611,0.5987931751976695,0.6000174703004891,0.6040461648397578,0.7222222222222222
knn,0.6354679802955665,0.6217229932826264,0.6241187384044528,0.6293464924698998,0.7222222222222222
native_hist_gradient,0.6206896551724138,0.5981926764104982,0.6268181271787475,0.60747527044093,0.6851851851851852
