metric,majority_baseline,selected_model,absolute_improvement
accuracy,0.39901477832512317,0.5960591133004927,0.1970443349753695
weighted_f1,0.2276070214389787,0.5583920734832122,0.3307850520442335
macro_f1,0.19014084507042253,0.5711973635314597,0.38105651846103716
high_risk_recall,0.0,0.8181818181818182,0.8181818181818182
