method,clusters,inertia,silhouette,davies_bouldin
KMeans,2,4381.474009890575,0.29712406651443757,1.3756043253028025
KMeans,3,3354.8285769973245,0.2926921227241734,1.3303491522977386
KMeans,4,2739.1418176319103,0.3063386417092339,1.199944901488612
KMeans,5,2419.2345510534033,0.3034939182374751,1.219975785076371
KMeans,6,2209.938862381257,0.291437583010564,1.2600847681854404
Hierarchical,4,,0.2954720571884273,1.1315881250140984
