AgeGroup,N,HighRiskN,accuracy,weighted_f1,macro_f1,macro_precision,macro_recall,high_risk_recall
<=19,77,8,0.38961038961038963,0.3501570325099737,0.3721132897603486,0.3974867724867725,0.4034380305602716,0.375
20-34,58,10,0.603448275862069,0.5563043904992475,0.5958254269449715,0.671957671957672,0.6016317016317017,0.7
35-49,40,22,0.85,0.8418968023255815,0.5964147286821705,0.5882352941176471,0.6070707070707071,0.9545454545454546
>=50,28,15,0.7857142857142857,0.7510076130765786,0.5642633228840125,0.5384615384615384,0.6074074074074074,0.9333333333333333
