missing_feature,accuracy,macro_f1,macro_precision,macro_recall,high_risk_recall,log_loss
none,0.5221674876847291,0.5198965198965199,0.5411067193675889,0.5226281611024562,0.7272727272727273,0.9036765639490663
Age,0.5862068965517241,0.5570944638017808,0.5790285502410085,0.5819622426587601,0.7818181818181819,0.8858871733113166
SystolicBP,0.4876847290640394,0.4903885969103361,0.5383208839091191,0.48214929840137133,0.6181818181818182,1.032852359426384
DiastolicBP,0.5073891625615764,0.4835896336021364,0.5175836894586895,0.49494502794668627,0.6,0.9195187181663891
BS,0.4827586206896552,0.4733112059427849,0.5008021390374332,0.47631427598260095,0.6181818181818182,1.0495576377666342
BodyTemp,0.5517241379310345,0.5074521600674312,0.5280454657771189,0.5443310942481755,0.7636363636363637,0.8701373325237081
HeartRate,0.541871921182266,0.5220755161940156,0.5342986603624902,0.5393146500940862,0.7454545454545455,0.9197033218190475
