model,cv_macro_f1_mean,cv_macro_f1_std,cv_accuracy_mean,validation_accuracy,validation_macro_f1,validation_macro_precision,validation_macro_recall,validation_high_risk_recall,validation_log_loss
SVC,0.6297692203158656,0.047306628872592835,0.6447836901916792,0.7586206896551724,0.7584231805929919,0.756265202005567,0.7618209764187194,0.8333333333333334,0.6714752599580118
SoftVoting,0.6396743180540093,0.06078752481440582,0.6546765513989823,0.7389162561576355,0.7412175081737544,0.7421637004970338,0.7413452161055608,0.7962962962962963,0.6444744877343491
LogisticRegression,0.56190496647044,0.05176849301328542,0.5658440228259279,0.6847290640394089,0.6913359639186455,0.6980726361023555,0.690881635184511,0.7777777777777778,0.7397818145137247
RandomForest,0.6366113450838239,0.053646215409925826,0.6596595620153148,0.6699507389162561,0.6687741023489586,0.666431775548487,0.6738484631944163,0.7592592592592593,0.7023490176948076
DeepMLP,0.5621137558850816,0.12904634758834155,0.5987904209140126,0.6600985221674877,0.6470282318399169,0.6470189817581605,0.6473234549924273,0.6296296296296297,0.813419255188366
ShallowMLP,0.27997556414636543,0.016026107240477715,0.3683932432652132,0.625615763546798,0.6403655326970402,0.7049357674104124,0.6198254436939062,0.5740740740740741,0.9139670960305715
GradientBoosting,0.6502736459616177,0.06780909025700657,0.6678941293144094,0.6650246305418719,0.6396946770778547,0.6540609701824655,0.6540243677726992,0.7407407407407407,0.650709009291933
DecisionTree,0.6280919806452153,0.04395479177987733,0.6415402624006242,0.6354679802955665,0.6325840643274854,0.633320322664585,0.6447707263142283,0.7777777777777778,7.14069367569141
Dummy,0.19036480366296718,0.0003167252789866581,0.39967321855338245,0.4039408866995074,0.19181286549707602,0.13464696223316913,0.3333333333333333,0.0,1.0843252025406946
